specialty,date,year,wait_type,total_waiting
Anaesthetics,2022-01-27,2022,Inpatient/Day Case,288.0
Breast Surgery,2022-01-27,2022,Inpatient/Day Case,169.0
Cardio-Thoracic Surgery,2022-01-27,2022,Inpatient/Day Case,376.0
Cardiology,2022-01-27,2022,Inpatient/Day Case,3523.0
Clinical Immunology,2022-01-27,2022,Inpatient/Day Case,150.0
Dental Surgery,2022-01-27,2022,Inpatient/Day Case,74.0
Dermatology,2022-01-27,2022,Inpatient/Day Case,1194.0
Endocrinology,2022-01-27,2022,Inpatient/Day Case,39.0
Gastro-Enterology,2022-01-27,2022,Inpatient/Day Case,518.0
Gastro-Intestinal Surgery,2022-01-27,2022,Inpatient/Day Case,476.0
General Medicine,2022-01-27,2022,Inpatient/Day Case,387.0
General Surgery,2022-01-27,2022,Inpatient/Day Case,12922.0
Gynaecology,2022-01-27,2022,Inpatient/Day Case,5568.0
Haematology,2022-01-27,2022,Inpatient/Day Case,22.0
Hepato-Biliary Surgery,2022-01-27,2022,Inpatient/Day Case,71.0
Maxillo-Facial,2022-01-27,2022,Inpatient/Day Case,724.0
Nephrology,2022-01-27,2022,Inpatient/Day Case,55.0
Neurology,2022-01-27,2022,Inpatient/Day Case,360.0
Neurosurgery,2022-01-27,2022,Inpatient/Day Case,518.0
Oncology,2022-01-27,2022,Inpatient/Day Case,48.0
Ophthalmology,2022-01-27,2022,Inpatient/Day Case,7841.0
Oral Surgery,2022-01-27,2022,Inpatient/Day Case,474.0
Orthopaedics,2022-01-27,2022,Inpatient/Day Case,10246.0
Otolaryngology (ENT),2022-01-27,2022,Inpatient/Day Case,3695.0
Pain Relief,2022-01-27,2022,Inpatient/Day Case,4951.0
Plastic Surgery,2022-01-27,2022,Inpatient/Day Case,4463.0
Radiology,2022-01-27,2022,Inpatient/Day Case,43.0
Respiratory Medicine,2022-01-27,2022,Inpatient/Day Case,547.0
Rheumatology,2022-01-27,2022,Inpatient/Day Case,309.0
Small Volume Specialties,2022-01-27,2022,Inpatient/Day Case,33.0
Urology,2022-01-27,2022,Inpatient/Day Case,8240.0
Vascular Surgery,2022-01-27,2022,Inpatient/Day Case,1449.0
Cardio-Thoracic Surgery,2022-01-27,2022,Inpatient/Day Case,73.0
Clinical Immunology,2022-01-27,2022,Inpatient/Day Case,224.0
Dental Surgery,2022-01-27,2022,Inpatient/Day Case,269.0
General Surgery,2022-01-27,2022,Inpatient/Day Case,296.0
Immunology,2022-01-27,2022,Inpatient/Day Case,110.0
Maxillo-Facial,2022-01-27,2022,Inpatient/Day Case,103.0
Ophthalmology,2022-01-27,2022,Inpatient/Day Case,654.0
Oral Surgery,2022-01-27,2022,Inpatient/Day Case,28.0
Orthopaedics,2022-01-27,2022,Inpatient/Day Case,381.0
Otolaryngology (ENT),2022-01-27,2022,Inpatient/Day Case,574.0
Paed Cardiology,2022-01-27,2022,Inpatient/Day Case,198.0
Paed Endocrinology,2022-01-27,2022,Inpatient/Day Case,45.0
Paed Orthopaedic,2022-01-27,2022,Inpatient/Day Case,1142.0
Paediatric Dermatology,2022-01-27,2022,Inpatient/Day Case,68.0
Paediatric ENT,2022-01-27,2022,Inpatient/Day Case,617.0
Paediatric Neurology,2022-01-27,2022,Inpatient/Day Case,33.0
Paediatric Radiology,2022-01-27,2022,Inpatient/Day Case,63.0
Paediatric Respiratory Medicine,2022-01-27,2022,Inpatient/Day Case,1287.0
Paediatric Surgery,2022-01-27,2022,Inpatient/Day Case,521.0
Paediatric Urology,2022-01-27,2022,Inpatient/Day Case,374.0
Paediatrics,2022-01-27,2022,Inpatient/Day Case,152.0
Plastic Surgery,2022-01-27,2022,Inpatient/Day Case,399.0
Rheumatology,2022-01-27,2022,Inpatient/Day Case,62.0
Small Volume Specialties,2022-01-27,2022,Inpatient/Day Case,115.0
Urology,2022-01-27,2022,Inpatient/Day Case,255.0
Anaesthetics,2022-02-24,2022,Inpatient/Day Case,279.0
Breast Surgery,2022-02-24,2022,Inpatient/Day Case,173.0
Cardio-Thoracic Surgery,2022-02-24,2022,Inpatient/Day Case,405.0
Cardiology,2022-02-24,2022,Inpatient/Day Case,3384.0
Clinical Immunology,2022-02-24,2022,Inpatient/Day Case,151.0
Dental Surgery,2022-02-24,2022,Inpatient/Day Case,62.0
Dermatology,2022-02-24,2022,Inpatient/Day Case,1177.0
Endocrinology,2022-02-24,2022,Inpatient/Day Case,55.0
Gastro-Enterology,2022-02-24,2022,Inpatient/Day Case,528.0
Gastro-Intestinal Surgery,2022-02-24,2022,Inpatient/Day Case,507.0
General Medicine,2022-02-24,2022,Inpatient/Day Case,341.0
General Surgery,2022-02-24,2022,Inpatient/Day Case,12896.0
Gynaecology,2022-02-24,2022,Inpatient/Day Case,5668.0
Haematology,2022-02-24,2022,Inpatient/Day Case,33.0
Hepato-Biliary Surgery,2022-02-24,2022,Inpatient/Day Case,81.0
Maxillo-Facial,2022-02-24,2022,Inpatient/Day Case,727.0
Nephrology,2022-02-24,2022,Inpatient/Day Case,54.0
Neurology,2022-02-24,2022,Inpatient/Day Case,347.0
Neurosurgery,2022-02-24,2022,Inpatient/Day Case,560.0
Oncology,2022-02-24,2022,Inpatient/Day Case,60.0
Ophthalmology,2022-02-24,2022,Inpatient/Day Case,7935.0
Oral Surgery,2022-02-24,2022,Inpatient/Day Case,509.0
Orthopaedics,2022-02-24,2022,Inpatient/Day Case,10473.0
Otolaryngology (ENT),2022-02-24,2022,Inpatient/Day Case,3623.0
Pain Relief,2022-02-24,2022,Inpatient/Day Case,4881.0
Plastic Surgery,2022-02-24,2022,Inpatient/Day Case,4625.0
Radiology,2022-02-24,2022,Inpatient/Day Case,44.0
Respiratory Medicine,2022-02-24,2022,Inpatient/Day Case,791.0
Rheumatology,2022-02-24,2022,Inpatient/Day Case,314.0
Small Volume Specialties,2022-02-24,2022,Inpatient/Day Case,20.0
Urology,2022-02-24,2022,Inpatient/Day Case,8197.0
Vascular Surgery,2022-02-24,2022,Inpatient/Day Case,1515.0
Cardio-Thoracic Surgery,2022-02-24,2022,Inpatient/Day Case,78.0
Clinical Immunology,2022-02-24,2022,Inpatient/Day Case,254.0
Dental Surgery,2022-02-24,2022,Inpatient/Day Case,269.0
General Surgery,2022-02-24,2022,Inpatient/Day Case,267.0
Immunology,2022-02-24,2022,Inpatient/Day Case,100.0
Maxillo-Facial,2022-02-24,2022,Inpatient/Day Case,103.0
Ophthalmology,2022-02-24,2022,Inpatient/Day Case,600.0
Oral Surgery,2022-02-24,2022,Inpatient/Day Case,34.0
Orthopaedics,2022-02-24,2022,Inpatient/Day Case,390.0
Otolaryngology (ENT),2022-02-24,2022,Inpatient/Day Case,469.0
Paed Cardiology,2022-02-24,2022,Inpatient/Day Case,220.0
Paed Endocrinology,2022-02-24,2022,Inpatient/Day Case,48.0
Paed Gastro-Enterol,2022-02-24,2022,Inpatient/Day Case,49.0
Paed Orthopaedic,2022-02-24,2022,Inpatient/Day Case,1128.0
Paediatric Dermatology,2022-02-24,2022,Inpatient/Day Case,59.0
Paediatric ENT,2022-02-24,2022,Inpatient/Day Case,546.0
Paediatric Neurology,2022-02-24,2022,Inpatient/Day Case,33.0
Paediatric Neurosurgery,2022-02-24,2022,Inpatient/Day Case,25.0
Paediatric Radiology,2022-02-24,2022,Inpatient/Day Case,73.0
Paediatric Respiratory Medicine,2022-02-24,2022,Inpatient/Day Case,1321.0
Paediatric Surgery,2022-02-24,2022,Inpatient/Day Case,510.0
Paediatric Urology,2022-02-24,2022,Inpatient/Day Case,380.0
Paediatrics,2022-02-24,2022,Inpatient/Day Case,173.0
Plastic Surgery,2022-02-24,2022,Inpatient/Day Case,390.0
Rheumatology,2022-02-24,2022,Inpatient/Day Case,60.0
Small Volume Specialties,2022-02-24,2022,Inpatient/Day Case,82.0
Urology,2022-02-24,2022,Inpatient/Day Case,296.0
Anaesthetics,2022-03-31,2022,Inpatient/Day Case,246.0
Breast Surgery,2022-03-31,2022,Inpatient/Day Case,189.0
Cardio-Thoracic Surgery,2022-03-31,2022,Inpatient/Day Case,367.0
Cardiology,2022-03-31,2022,Inpatient/Day Case,3423.0
Clinical Immunology,2022-03-31,2022,Inpatient/Day Case,153.0
Dental Surgery,2022-03-31,2022,Inpatient/Day Case,63.0
Dermatology,2022-03-31,2022,Inpatient/Day Case,1113.0
Endocrinology,2022-03-31,2022,Inpatient/Day Case,62.0
Gastro-Enterology,2022-03-31,2022,Inpatient/Day Case,543.0
Gastro-Intestinal Surgery,2022-03-31,2022,Inpatient/Day Case,487.0
General Medicine,2022-03-31,2022,Inpatient/Day Case,327.0
General Surgery,2022-03-31,2022,Inpatient/Day Case,13250.0
Gynaecology,2022-03-31,2022,Inpatient/Day Case,5774.0
Haematology,2022-03-31,2022,Inpatient/Day Case,25.0
Hepato-Biliary Surgery,2022-03-31,2022,Inpatient/Day Case,70.0
Maxillo-Facial,2022-03-31,2022,Inpatient/Day Case,834.0
Nephrology,2022-03-31,2022,Inpatient/Day Case,53.0
Neurology,2022-03-31,2022,Inpatient/Day Case,367.0
Neurosurgery,2022-03-31,2022,Inpatient/Day Case,596.0
Oncology,2022-03-31,2022,Inpatient/Day Case,38.0
Ophthalmology,2022-03-31,2022,Inpatient/Day Case,8538.0
Oral Surgery,2022-03-31,2022,Inpatient/Day Case,556.0
Orthopaedics,2022-03-31,2022,Inpatient/Day Case,10783.0
Otolaryngology (ENT),2022-03-31,2022,Inpatient/Day Case,3923.0
Pain Relief,2022-03-31,2022,Inpatient/Day Case,4829.0
Plastic Surgery,2022-03-31,2022,Inpatient/Day Case,4871.0
Radiology,2022-03-31,2022,Inpatient/Day Case,69.0
Respiratory Medicine,2022-03-31,2022,Inpatient/Day Case,622.0
Rheumatology,2022-03-31,2022,Inpatient/Day Case,348.0
Small Volume Specialties,2022-03-31,2022,Inpatient/Day Case,23.0
Urology,2022-03-31,2022,Inpatient/Day Case,8434.0
Vascular Surgery,2022-03-31,2022,Inpatient/Day Case,1481.0
Cardio-Thoracic Surgery,2022-03-31,2022,Inpatient/Day Case,79.0
Clinical Immunology,2022-03-31,2022,Inpatient/Day Case,245.0
Dental Surgery,2022-03-31,2022,Inpatient/Day Case,264.0
General Surgery,2022-03-31,2022,Inpatient/Day Case,300.0
Immunology,2022-03-31,2022,Inpatient/Day Case,88.0
Maxillo-Facial,2022-03-31,2022,Inpatient/Day Case,108.0
Ophthalmology,2022-03-31,2022,Inpatient/Day Case,637.0
Oral Surgery,2022-03-31,2022,Inpatient/Day Case,42.0
Orthopaedics,2022-03-31,2022,Inpatient/Day Case,463.0
Otolaryngology (ENT),2022-03-31,2022,Inpatient/Day Case,520.0
Paed Cardiology,2022-03-31,2022,Inpatient/Day Case,210.0
Paed Endocrinology,2022-03-31,2022,Inpatient/Day Case,51.0
Paed Gastro-Enterol,2022-03-31,2022,Inpatient/Day Case,43.0
Paed Metabolic Medicine,2022-03-31,2022,Inpatient/Day Case,20.0
Paed Orthopaedic,2022-03-31,2022,Inpatient/Day Case,995.0
Paediatric Dermatology,2022-03-31,2022,Inpatient/Day Case,58.0
Paediatric ENT,2022-03-31,2022,Inpatient/Day Case,548.0
Paediatric Neurology,2022-03-31,2022,Inpatient/Day Case,21.0
Paediatric Radiology,2022-03-31,2022,Inpatient/Day Case,75.0
Paediatric Respiratory Medicine,2022-03-31,2022,Inpatient/Day Case,1308.0
Paediatric Surgery,2022-03-31,2022,Inpatient/Day Case,516.0
Paediatric Urology,2022-03-31,2022,Inpatient/Day Case,422.0
Paediatrics,2022-03-31,2022,Inpatient/Day Case,196.0
Plastic Surgery,2022-03-31,2022,Inpatient/Day Case,376.0
Rheumatology,2022-03-31,2022,Inpatient/Day Case,64.0
Small Volume Specialties,2022-03-31,2022,Inpatient/Day Case,86.0
Urology,2022-03-31,2022,Inpatient/Day Case,277.0
Anaesthetics,2022-04-28,2022,Inpatient/Day Case,251.0
Breast Surgery,2022-04-28,2022,Inpatient/Day Case,191.0
Cardio-Thoracic Surgery,2022-04-28,2022,Inpatient/Day Case,342.0
Cardiology,2022-04-28,2022,Inpatient/Day Case,3252.0
Clinical Immunology,2022-04-28,2022,Inpatient/Day Case,178.0
Dental Surgery,2022-04-28,2022,Inpatient/Day Case,59.0
Dermatology,2022-04-28,2022,Inpatient/Day Case,1040.0
Endocrinology,2022-04-28,2022,Inpatient/Day Case,43.0
Gastro-Enterology,2022-04-28,2022,Inpatient/Day Case,540.0
Gastro-Intestinal Surgery,2022-04-28,2022,Inpatient/Day Case,461.0
General Medicine,2022-04-28,2022,Inpatient/Day Case,298.0
General Surgery,2022-04-28,2022,Inpatient/Day Case,13029.0
Gynaecology,2022-04-28,2022,Inpatient/Day Case,5775.0
Haematology,2022-04-28,2022,Inpatient/Day Case,30.0
Hepato-Biliary Surgery,2022-04-28,2022,Inpatient/Day Case,65.0
Maxillo-Facial,2022-04-28,2022,Inpatient/Day Case,836.0
Nephrology,2022-04-28,2022,Inpatient/Day Case,50.0
Neurology,2022-04-28,2022,Inpatient/Day Case,328.0
Neurosurgery,2022-04-28,2022,Inpatient/Day Case,587.0
Oncology,2022-04-28,2022,Inpatient/Day Case,32.0
Ophthalmology,2022-04-28,2022,Inpatient/Day Case,8555.0
Oral Surgery,2022-04-28,2022,Inpatient/Day Case,534.0
Orthopaedics,2022-04-28,2022,Inpatient/Day Case,11017.0
Otolaryngology (ENT),2022-04-28,2022,Inpatient/Day Case,3972.0
Pain Relief,2022-04-28,2022,Inpatient/Day Case,4840.0
Plastic Surgery,2022-04-28,2022,Inpatient/Day Case,4750.0
Radiology,2022-04-28,2022,Inpatient/Day Case,48.0
Respiratory Medicine,2022-04-28,2022,Inpatient/Day Case,576.0
Rheumatology,2022-04-28,2022,Inpatient/Day Case,327.0
Small Volume Specialties,2022-04-28,2022,Inpatient/Day Case,25.0
Urology,2022-04-28,2022,Inpatient/Day Case,8503.0
Vascular Surgery,2022-04-28,2022,Inpatient/Day Case,1417.0
Cardio-Thoracic Surgery,2022-04-28,2022,Inpatient/Day Case,72.0
Clinical Immunology,2022-04-28,2022,Inpatient/Day Case,280.0
Dental Surgery,2022-04-28,2022,Inpatient/Day Case,262.0
General Surgery,2022-04-28,2022,Inpatient/Day Case,270.0
Immunology,2022-04-28,2022,Inpatient/Day Case,95.0
Maxillo-Facial,2022-04-28,2022,Inpatient/Day Case,104.0
Ophthalmology,2022-04-28,2022,Inpatient/Day Case,638.0
Oral Surgery,2022-04-28,2022,Inpatient/Day Case,37.0
Orthopaedics,2022-04-28,2022,Inpatient/Day Case,475.0
Otolaryngology (ENT),2022-04-28,2022,Inpatient/Day Case,539.0
Paed Cardiology,2022-04-28,2022,Inpatient/Day Case,232.0
Paed Endocrinology,2022-04-28,2022,Inpatient/Day Case,56.0
Paed Gastro-Enterol,2022-04-28,2022,Inpatient/Day Case,41.0
Paed Metabolic Medicine,2022-04-28,2022,Inpatient/Day Case,28.0
Paed Orthopaedic,2022-04-28,2022,Inpatient/Day Case,935.0
Paediatric Dermatology,2022-04-28,2022,Inpatient/Day Case,62.0
Paediatric ENT,2022-04-28,2022,Inpatient/Day Case,533.0
Paediatric Neurology,2022-04-28,2022,Inpatient/Day Case,30.0
Paediatric Neurosurgery,2022-04-28,2022,Inpatient/Day Case,21.0
Paediatric Radiology,2022-04-28,2022,Inpatient/Day Case,80.0
Paediatric Respiratory Medicine,2022-04-28,2022,Inpatient/Day Case,1336.0
Paediatric Surgery,2022-04-28,2022,Inpatient/Day Case,470.0
Paediatric Urology,2022-04-28,2022,Inpatient/Day Case,419.0
Paediatrics,2022-04-28,2022,Inpatient/Day Case,215.0
Plastic Surgery,2022-04-28,2022,Inpatient/Day Case,377.0
Rheumatology,2022-04-28,2022,Inpatient/Day Case,65.0
Small Volume Specialties,2022-04-28,2022,Inpatient/Day Case,69.0
Urology,2022-04-28,2022,Inpatient/Day Case,254.0
Anaesthetics,2022-05-26,2022,Inpatient/Day Case,94.0
Breast Surgery,2022-05-26,2022,Inpatient/Day Case,181.0
Cardio-Thoracic Surgery,2022-05-26,2022,Inpatient/Day Case,340.0
Cardiology,2022-05-26,2022,Inpatient/Day Case,3238.0
Clinical Immunology,2022-05-26,2022,Inpatient/Day Case,197.0
Dental Surgery,2022-05-26,2022,Inpatient/Day Case,61.0
Dermatology,2022-05-26,2022,Inpatient/Day Case,1113.0
Endocrinology,2022-05-26,2022,Inpatient/Day Case,59.0
Gastro-Enterology,2022-05-26,2022,Inpatient/Day Case,538.0
Gastro-Intestinal Surgery,2022-05-26,2022,Inpatient/Day Case,462.0
General Medicine,2022-05-26,2022,Inpatient/Day Case,278.0
General Surgery,2022-05-26,2022,Inpatient/Day Case,12750.0
Gynaecology,2022-05-26,2022,Inpatient/Day Case,5762.0
Haematology,2022-05-26,2022,Inpatient/Day Case,36.0
Hepato-Biliary Surgery,2022-05-26,2022,Inpatient/Day Case,59.0
Maxillo-Facial,2022-05-26,2022,Inpatient/Day Case,882.0
Nephrology,2022-05-26,2022,Inpatient/Day Case,41.0
Neurology,2022-05-26,2022,Inpatient/Day Case,303.0
Neurosurgery,2022-05-26,2022,Inpatient/Day Case,618.0
Oncology,2022-05-26,2022,Inpatient/Day Case,36.0
Ophthalmology,2022-05-26,2022,Inpatient/Day Case,8545.0
Oral Surgery,2022-05-26,2022,Inpatient/Day Case,554.0
Orthopaedics,2022-05-26,2022,Inpatient/Day Case,10693.0
Otolaryngology (ENT),2022-05-26,2022,Inpatient/Day Case,4164.0
Pain Relief,2022-05-26,2022,Inpatient/Day Case,4733.0
Plastic Surgery,2022-05-26,2022,Inpatient/Day Case,4938.0
Radiology,2022-05-26,2022,Inpatient/Day Case,42.0
Respiratory Medicine,2022-05-26,2022,Inpatient/Day Case,619.0
Rheumatology,2022-05-26,2022,Inpatient/Day Case,357.0
Small Volume Specialties,2022-05-26,2022,Inpatient/Day Case,19.0
Urology,2022-05-26,2022,Inpatient/Day Case,8628.0
Vascular Surgery,2022-05-26,2022,Inpatient/Day Case,1439.0
Cardio-Thoracic Surgery,2022-05-26,2022,Inpatient/Day Case,86.0
Clinical Immunology,2022-05-26,2022,Inpatient/Day Case,264.0
Dental Surgery,2022-05-26,2022,Inpatient/Day Case,280.0
General Surgery,2022-05-26,2022,Inpatient/Day Case,262.0
Immunology,2022-05-26,2022,Inpatient/Day Case,96.0
Maxillo-Facial,2022-05-26,2022,Inpatient/Day Case,112.0
Ophthalmology,2022-05-26,2022,Inpatient/Day Case,681.0
Oral Surgery,2022-05-26,2022,Inpatient/Day Case,50.0
Orthopaedics,2022-05-26,2022,Inpatient/Day Case,478.0
Otolaryngology (ENT),2022-05-26,2022,Inpatient/Day Case,596.0
Paed Cardiology,2022-05-26,2022,Inpatient/Day Case,229.0
Paed Orthopaedic,2022-05-26,2022,Inpatient/Day Case,892.0
Paediatric Dermatology,2022-05-26,2022,Inpatient/Day Case,37.0
Paediatric ENT,2022-05-26,2022,Inpatient/Day Case,471.0
Paediatric Infectious Diseases,2022-05-26,2022,Inpatient/Day Case,21.0
Paediatric Neurology,2022-05-26,2022,Inpatient/Day Case,21.0
Paediatric Neurosurgery,2022-05-26,2022,Inpatient/Day Case,30.0
Paediatric Radiology,2022-05-26,2022,Inpatient/Day Case,46.0
Paediatric Respiratory Medicine,2022-05-26,2022,Inpatient/Day Case,1417.0
Paediatric Surgery,2022-05-26,2022,Inpatient/Day Case,406.0
Paediatric Urology,2022-05-26,2022,Inpatient/Day Case,415.0
Paediatrics,2022-05-26,2022,Inpatient/Day Case,213.0
Plastic Surgery,2022-05-26,2022,Inpatient/Day Case,399.0
Rheumatology,2022-05-26,2022,Inpatient/Day Case,70.0
Small Volume Specialties,2022-05-26,2022,Inpatient/Day Case,91.0
Urology,2022-05-26,2022,Inpatient/Day Case,247.0
Anaesthetics,2022-06-30,2022,Inpatient/Day Case,75.0
Breast Surgery,2022-06-30,2022,Inpatient/Day Case,181.0
Cardio-Thoracic Surgery,2022-06-30,2022,Inpatient/Day Case,322.0
Cardiology,2022-06-30,2022,Inpatient/Day Case,2893.0
Clinical Immunology,2022-06-30,2022,Inpatient/Day Case,195.0
Dental Surgery,2022-06-30,2022,Inpatient/Day Case,63.0
Dermatology,2022-06-30,2022,Inpatient/Day Case,1174.0
Endocrinology,2022-06-30,2022,Inpatient/Day Case,62.0
Gastro-Enterology,2022-06-30,2022,Inpatient/Day Case,527.0
Gastro-Intestinal Surgery,2022-06-30,2022,Inpatient/Day Case,501.0
General Medicine,2022-06-30,2022,Inpatient/Day Case,264.0
General Surgery,2022-06-30,2022,Inpatient/Day Case,12733.0
Gynaecology,2022-06-30,2022,Inpatient/Day Case,5747.0
Haematology,2022-06-30,2022,Inpatient/Day Case,28.0
Hepato-Biliary Surgery,2022-06-30,2022,Inpatient/Day Case,47.0
Maxillo-Facial,2022-06-30,2022,Inpatient/Day Case,994.0
Nephrology,2022-06-30,2022,Inpatient/Day Case,40.0
Neurology,2022-06-30,2022,Inpatient/Day Case,326.0
Neurosurgery,2022-06-30,2022,Inpatient/Day Case,652.0
Oncology,2022-06-30,2022,Inpatient/Day Case,27.0
Ophthalmology,2022-06-30,2022,Inpatient/Day Case,8989.0
Oral Surgery,2022-06-30,2022,Inpatient/Day Case,575.0
Orthopaedics,2022-06-30,2022,Inpatient/Day Case,10523.0
Otolaryngology (ENT),2022-06-30,2022,Inpatient/Day Case,4182.0
Pain Relief,2022-06-30,2022,Inpatient/Day Case,4781.0
Plastic Surgery,2022-06-30,2022,Inpatient/Day Case,4969.0
Radiology,2022-06-30,2022,Inpatient/Day Case,49.0
Respiratory Medicine,2022-06-30,2022,Inpatient/Day Case,715.0
Rheumatology,2022-06-30,2022,Inpatient/Day Case,276.0
Small Volume Specialties,2022-06-30,2022,Inpatient/Day Case,15.0
Urology,2022-06-30,2022,Inpatient/Day Case,8884.0
Vascular Surgery,2022-06-30,2022,Inpatient/Day Case,1497.0
Cardio-Thoracic Surgery,2022-06-30,2022,Inpatient/Day Case,90.0
Clinical Immunology,2022-06-30,2022,Inpatient/Day Case,289.0
Dental Surgery,2022-06-30,2022,Inpatient/Day Case,267.0
General Surgery,2022-06-30,2022,Inpatient/Day Case,264.0
Immunology,2022-06-30,2022,Inpatient/Day Case,104.0
Maxillo-Facial,2022-06-30,2022,Inpatient/Day Case,111.0
Ophthalmology,2022-06-30,2022,Inpatient/Day Case,691.0
Oral Surgery,2022-06-30,2022,Inpatient/Day Case,58.0
Orthopaedics,2022-06-30,2022,Inpatient/Day Case,523.0
Otolaryngology (ENT),2022-06-30,2022,Inpatient/Day Case,707.0
Paed Cardiology,2022-06-30,2022,Inpatient/Day Case,238.0
Paed Endocrinology,2022-06-30,2022,Inpatient/Day Case,21.0
Paed Orthopaedic,2022-06-30,2022,Inpatient/Day Case,808.0
Paediatric Dermatology,2022-06-30,2022,Inpatient/Day Case,27.0
Paediatric ENT,2022-06-30,2022,Inpatient/Day Case,467.0
Paediatric Infectious Diseases,2022-06-30,2022,Inpatient/Day Case,22.0
Paediatric Neurology,2022-06-30,2022,Inpatient/Day Case,23.0
Paediatric Neurosurgery,2022-06-30,2022,Inpatient/Day Case,31.0
Paediatric Radiology,2022-06-30,2022,Inpatient/Day Case,41.0
Paediatric Respiratory Medicine,2022-06-30,2022,Inpatient/Day Case,1419.0
Paediatric Surgery,2022-06-30,2022,Inpatient/Day Case,390.0
Paediatric Urology,2022-06-30,2022,Inpatient/Day Case,367.0
Paediatrics,2022-06-30,2022,Inpatient/Day Case,194.0
Plastic Surgery,2022-06-30,2022,Inpatient/Day Case,411.0
Rheumatology,2022-06-30,2022,Inpatient/Day Case,71.0
Small Volume Specialties,2022-06-30,2022,Inpatient/Day Case,85.0
Urology,2022-06-30,2022,Inpatient/Day Case,244.0
Anaesthetics,2022-07-28,2022,Inpatient/Day Case,60.0
Breast Surgery,2022-07-28,2022,Inpatient/Day Case,189.0
Cardio-Thoracic Surgery,2022-07-28,2022,Inpatient/Day Case,347.0
Cardiology,2022-07-28,2022,Inpatient/Day Case,2632.0
Clinical Immunology,2022-07-28,2022,Inpatient/Day Case,207.0
Dental Surgery,2022-07-28,2022,Inpatient/Day Case,51.0
Dermatology,2022-07-28,2022,Inpatient/Day Case,1094.0
Endocrinology,2022-07-28,2022,Inpatient/Day Case,61.0
Gastro-Enterology,2022-07-28,2022,Inpatient/Day Case,496.0
Gastro-Intestinal Surgery,2022-07-28,2022,Inpatient/Day Case,511.0
General Medicine,2022-07-28,2022,Inpatient/Day Case,237.0
General Surgery,2022-07-28,2022,Inpatient/Day Case,12804.0
Gynaecology,2022-07-28,2022,Inpatient/Day Case,5691.0
Haematology,2022-07-28,2022,Inpatient/Day Case,31.0
Hepato-Biliary Surgery,2022-07-28,2022,Inpatient/Day Case,53.0
Maxillo-Facial,2022-07-28,2022,Inpatient/Day Case,1105.0
Nephrology,2022-07-28,2022,Inpatient/Day Case,38.0
Neurology,2022-07-28,2022,Inpatient/Day Case,320.0
Neurosurgery,2022-07-28,2022,Inpatient/Day Case,689.0
Oncology,2022-07-28,2022,Inpatient/Day Case,32.0
Ophthalmology,2022-07-28,2022,Inpatient/Day Case,9053.0
Oral Surgery,2022-07-28,2022,Inpatient/Day Case,599.0
Orthopaedics,2022-07-28,2022,Inpatient/Day Case,10651.0
Otolaryngology (ENT),2022-07-28,2022,Inpatient/Day Case,4233.0
Pain Relief,2022-07-28,2022,Inpatient/Day Case,4555.0
Plastic Surgery,2022-07-28,2022,Inpatient/Day Case,4930.0
Radiology,2022-07-28,2022,Inpatient/Day Case,26.0
Respiratory Medicine,2022-07-28,2022,Inpatient/Day Case,649.0
Rheumatology,2022-07-28,2022,Inpatient/Day Case,294.0
Small Volume Specialties,2022-07-28,2022,Inpatient/Day Case,21.0
Urology,2022-07-28,2022,Inpatient/Day Case,8599.0
Vascular Surgery,2022-07-28,2022,Inpatient/Day Case,1414.0
Cardio-Thoracic Surgery,2022-07-28,2022,Inpatient/Day Case,85.0
Clinical Immunology,2022-07-28,2022,Inpatient/Day Case,300.0
Dental Surgery,2022-07-28,2022,Inpatient/Day Case,243.0
General Surgery,2022-07-28,2022,Inpatient/Day Case,259.0
Immunology,2022-07-28,2022,Inpatient/Day Case,107.0
Maxillo-Facial,2022-07-28,2022,Inpatient/Day Case,105.0
Ophthalmology,2022-07-28,2022,Inpatient/Day Case,682.0
Oral Surgery,2022-07-28,2022,Inpatient/Day Case,67.0
Orthopaedics,2022-07-28,2022,Inpatient/Day Case,515.0
Otolaryngology (ENT),2022-07-28,2022,Inpatient/Day Case,735.0
Paed Cardiology,2022-07-28,2022,Inpatient/Day Case,243.0
Paed Endocrinology,2022-07-28,2022,Inpatient/Day Case,22.0
Paed Orthopaedic,2022-07-28,2022,Inpatient/Day Case,793.0
Paediatric Dermatology,2022-07-28,2022,Inpatient/Day Case,30.0
Paediatric ENT,2022-07-28,2022,Inpatient/Day Case,506.0
Paediatric Infectious Diseases,2022-07-28,2022,Inpatient/Day Case,22.0
Paediatric Neurosurgery,2022-07-28,2022,Inpatient/Day Case,32.0
Paediatric Radiology,2022-07-28,2022,Inpatient/Day Case,38.0
Paediatric Respiratory Medicine,2022-07-28,2022,Inpatient/Day Case,1334.0
Paediatric Surgery,2022-07-28,2022,Inpatient/Day Case,418.0
Paediatric Urology,2022-07-28,2022,Inpatient/Day Case,364.0
Paediatrics,2022-07-28,2022,Inpatient/Day Case,204.0
Plastic Surgery,2022-07-28,2022,Inpatient/Day Case,404.0
Rheumatology,2022-07-28,2022,Inpatient/Day Case,77.0
Small Volume Specialties,2022-07-28,2022,Inpatient/Day Case,97.0
Urology,2022-07-28,2022,Inpatient/Day Case,236.0
Anaesthetics,2022-08-25,2022,Inpatient/Day Case,66.0
